,screen_name,Tweet
0,ELTIEMPO,{'translation_text': 'Gustavo Petro gives his version on past drinking speech at Girardot. This said ► https://t.co/nDf7uMFSRu https://t.co/2dGmNJT1BU'}
1,ELTIEMPO,{'translation_text': 'The people where they put the rarest names in the world to newborns ► https://t.co/cIET1KaKCd https://t.co/eUDztA4KMR'}
2,ELTIEMPO,{'translation_text': 'What is behind the winter tragedy that left 15 dead in Risaralda? We tell you ► https://t.co/BxeqH8lDDH https://t.co/MCJPfSJdMT'}
3,ELTIEMPO,{'translation_text': 'This is the map of areas at risk for electoral campaigning ► https://t.co/4pVFEjCjqh Via @ColombiaET https://t.co/ukpxNbpmXt'}
4,ELTIEMPO,{'translation_text': '‘The Democratic Center walks like a crazy car in the iron city’: Ernesto Macías. The senator said the party should facilitate participation in the March 13 consultations. Here’s the interview ► https://t.co/6SyXLi1kM5 https://t.co/wnmFkdIDpJ'}
5,ELTIEMPO,"{'translation_text': 'Authorities of Dosquebradas declare public calamity after strong galaval Nearly 220 families in the rural and urban area of the municipality were affected by flooding, house distechnation and landslides. https://t.co/rvagr8HH6f'}"
6,ELTIEMPO,"{'translation_text': ""This is the cartoon of @Matador000 for this Wednesday, entitled: 'We need supportive hands'. See more opinion content here → https://t.co/3pxAqVrNeT https://t.co/1zj5gtVoIJ""}"
7,ELTIEMPO,{'translation_text': 'The discovery of a stolen motorcycle dismantled an entire vehicle theft network. We told you. → https://t.co/DpukEWUfzV https://t.co/wQs3D6nXfj'}
8,ELTIEMPO,"{'translation_text': 'Costochondritis, a painful symptom of covid-19 infection ► https://t.co/VAbe0DWFZx https://t.co/72RGuT9nZw'}"
9,ELTIEMPO,{'translation_text': 'Pereira: The stories heard in the midst of relief agencies and the community that help search for survivors or victims are shocking ► https://t.co/yNyeQv9gEb https://t.co/kKlGjuQ7Cz'}
10,ELTIEMPO,{'translation_text': 'A Colombian is murdered in Chile and his brother fears being buried as NN. We tell him about the case ► https://t.co/s30jTGyheE https://t.co/A05boTny7o'}
11,ELTIEMPO,"{'translation_text': 'Beyond the controversy and scandal that generated the viral video of comedian Alvaro Lemmon, we analyze the complicated situation that more than 6 million older adults live in Colombia  https://t.co/e7SpbAGGoR https://t.co/NMVsL8IcrX'}"
12,ELTIEMPO,"{'translation_text': ""Via @bbcmundo  This is Simon Leviev, the 'Tinder cheater' who accuses of stealing millions ► https://t.co/COW2mQDdqE https://t.co/jnbYKt2tXu""}"
13,ELTIEMPO,{'translation_text': 'Is it wrong to load your cell phone all night? Here we tell you ► https://t.co/PTQkCGUGMd https://t.co/Va2r5gis6r'}
